PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,MONTH
41322.00,11422.00,30590.00,1747.00,DL,19790,Delta Air Lines Inc.,01260,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
41457.00,41171.00,0.00,602.00,WN,19393,Southwest Airlines Co.,06725,11292,1129202,30325,DEN,"Denver, CO",CO,08,Colorado,82,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,1
41554.00,46124.00,12349.00,356.00,DL,19790,Delta Air Lines Inc.,01260,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
41614.00,90203.00,75109.00,946.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,1
41617.00,310370.00,51835.00,925.00,UA,19977,United Air Lines Inc.,0A875,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,1
41678.00,25885.00,20853.00,1389.00,AA,19805,American Airlines Inc.,0A050,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
41695.00,13512.00,74185.00,1055.00,AA,19805,American Airlines Inc.,0A050,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
41922.00,456396.00,134320.00,1400.00,UA,19977,United Air Lines Inc.,0A875,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1
41986.00,7796.00,9770.00,1055.00,AA,19805,American Airlines Inc.,0A050,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
42026.00,17033.00,0.00,1389.00,AA,19805,American Airlines Inc.,0A050,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,1
42212.00,1394614.00,256416.00,1846.00,UA,19977,United Air Lines Inc.,0A875,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1
42253.00,3775.00,8078.00,985.00,AA,19805,American Airlines Inc.,0A050,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
42331.00,45693.00,63479.00,1747.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
42670.00,79071.00,40214.00,967.00,UA,19977,United Air Lines Inc.,0A875,11292,1129202,30325,DEN,"Denver, CO",CO,08,Colorado,82,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1
42751.00,9575.00,0.00,545.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,1
42764.00,636857.00,323493.00,1846.00,UA,19977,United Air Lines Inc.,0A875,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1
