BETWEENNESS_CENTRALITY_SCORE,AIRPORT,CITY_NAME
667.0,{'LAN'},"{'Lansing, MI'}"
667.0,{'CKB'},"{'Clarksburg/Fairmont, WV'}"
667.0,{'MCG'},"{'McGrath, AK'}"
667.0,{'AUS'},"{'Austin, TX'}"
658.0,{'SRQ'},"{'Sarasota/Bradenton, FL'}"
658.0,{'COS'},"{'Colorado Springs, CO'}"
658.0,{'RIC'},"{'Richmond, VA'}"
658.0,{'MNT'},"{'Minto, AK'}"
658.0,{'MMU'},"{'Morristown, NJ'}"
657.0,"{'XNA', 'FYV'}","{'Fayetteville, AR'}"
657.0,{'CFT'},"{'Clifton, AZ'}"
657.0,{'TEK'},"{'Tatitlek, AK'}"
657.0,{'MSY'},"{'New Orleans, LA'}"
657.0,{'CHO'},"{'Charlottesville, VA'}"
656.0,{'SCM'},"{'Scammon Bay, AK'}"
6.0,{'NUL'},"{'Nulato, AK'}"
0.0,{'PIP'},"{'Pilot Point, AK'}"
0.0,{'PIH'},"{'Pocatello, ID'}"
0.0,{'YUM'},"{'Yuma, AZ'}"
0.0,{'NUI'},"{'Nuiqsut, AK'}"
0.0,{'PIR'},"{'Pierre, SD'}"
0.0,{'NUP'},"{'Nunapitchuk, AK'}"
0.0,{'PIB'},"{'Hattiesburg/Laurel, MS'}"
0.0,{'PIA'},"{'Peoria, IL'}"
0.0,{'PHO'},"{'Point Hope, AK'}"
0.0,{'PIZ'},"{'Point Lay, AK'}"
0.0,{'PGV'},"{'Greenville, NC'}"
0.0,{'PGM'},"{'Port Graham, AK'}"
0.0,{'NUQ'},"{'Mountain View, CA'}"
0.0,{'OBU'},"{'Kobuk, AK'}"
0.0,{'PEC'},"{'Pelican, AK'}"
0.0,{'PAH'},"{'Paducah, KY'}"
0.0,{'ORV'},"{'Noorvik, AK'}"
0.0,{'OTH'},"{'North Bend/Coos Bay, OR'}"
0.0,{'OOK'},"{'Toksook, AK'}"
0.0,{'OWB'},"{'Owensboro, KY'}"
0.0,{'JRV'},"{'Ceiba, PR'}"
0.0,{'OXC'},"{'Waterbury, CT'}"
0.0,{'OLF'},"{'Wolf Point, MT'}"
0.0,{'OAJ'},"{'Jacksonville/Camp Lejeune, NC'}"
0.0,{'ORH'},"{'Worcester, MA'}"
0.0,{'PAQ'},"{'Palmer, AK'}"
0.0,{'OKC'},"{'Oklahoma City, OK'}"
0.0,{'RDD'},"{'Redding, CA'}"
0.0,{'PBG'},"{'Plattsburgh, NY'}"
0.0,{'OGS'},"{'Ogdensburg, NY'}"
0.0,{'PBI'},"{'West Palm Beach/Palm Beach, FL'}"
0.0,{'PDB'},"{'Pedro Bay, AK'}"
0.0,{'PDT'},"{'Pendleton, OR'}"
0.0,{'MSO'},"{'Missoula, MT'}"
0.0,{'NPT'},"{'Newport, RI'}"
0.0,{'MCN'},"{'Macon, GA'}"
0.0,"{'CVG', 'LUK'}","{'Cincinnati, OH'}"
0.0,{'LUP'},"{'Kalaupapa, HI'}"
0.0,{'LUR'},"{'Cape Lisburne, AK'}"
0.0,{'LVK'},"{'Livermore, CA'}"
0.0,{'LWB'},"{'Lewisburg, WV'}"
0.0,{'LWS'},"{'Lewiston, ID'}"
0.0,{'LYH'},"{'Lynchburg, VA'}"
0.0,{'MAF'},"{'Midland/Odessa, TX'}"
0.0,{'LRU'},"{'Las Cruces, NM'}"
0.0,{'MAZ'},"{'Mayaguez, PR'}"
0.0,{'MBL'},"{'Manistee/Ludington, MI'}"
0.0,{'MBS'},"{'Saginaw/Bay City/Midland, MI'}"
0.0,"{'MHR', 'SMF'}","{'Sacramento, CA'}"
0.0,{'MCE'},"{'Merced, CA'}"
0.0,"{'MKC', 'MCI'}","{'Kansas City, MO'}"
0.0,{'MCK'},"{'McCook, NE'}"
0.0,{'LSE'},"{'La Crosse, WI'}"
0.0,{'LPS'},"{'Lopez Island, WA'}"
0.0,{'PNS'},"{'Pensacola, FL'}"
0.0,{'LFT'},"{'Lafayette, LA'}"
0.0,{'LAW'},"{'Lawton/Fort Sill, OK'}"
0.0,{'LBB'},"{'Lubbock, TX'}"
0.0,{'LBE'},"{'Latrobe, PA'}"
0.0,{'LBF'},"{'North Platte, NE'}"
0.0,{'LBL'},"{'Liberal, KS'}"
0.0,{'LCI'},"{'Laconia, NH'}"
0.0,{'LEB'},"{'Lebanon-Hanover, NH'}"
0.0,{'LGU'},"{'Logan, UT'}"
0.0,{'LOZ'},"{'London/Corbin, KY'}"
0.0,{'LIH'},"{'Lihue, HI'}"
0.0,{'LKP'},"{'Lake Placid, NY'}"
0.0,{'LMA'},"{'Lake Minchumina, AK'}"
0.0,{'LNK'},"{'Lincoln, NE'}"
0.0,{'LNY'},"{'Lanai, HI'}"
0.0,{'LRD'},"{'Laredo, TX'}"
0.0,{'SDF'},"{'Louisville, KY'}"
0.0,{'MCW'},"{'Mason City, IA'}"
0.0,{'SAT'},"{'San Antonio, TX'}"
0.0,{'MEI'},"{'Meridian, MS'}"
0.0,{'MUE'},"{'Kamuela, HI'}"
0.0,{'MSL'},"{'Muscle Shoals, AL'}"
0.0,{'MSN'},"{'Madison, WI'}"
0.0,{'PKB'},"{'Parkersburg, WV'}"
0.0,{'MSS'},"{'Massena, NY'}"
0.0,{'MTC'},"{'Mt. Clemens, MI'}"
0.0,{'MTJ'},"{'Montrose/Delta, CO'}"
0.0,{'MTM'},"{'Metlakatla, AK'}"
0.0,{'MWA'},"{'Marion/Herrin, IL'}"
0.0,{'MEM'},"{'Memphis, TN'}"
0.0,{'MWH'},"{'Moses Lake, WA'}"
0.0,{'MYU'},"{'Mekoryuk, AK'}"
0.0,"{'2VA', 'PHF', 'ORF'}","{'Newport News/Williamsburg, VA', 'Williamsburg, VA', 'Norfolk, VA'}"
0.0,{'NIB'},"{'Nikolai, AK'}"
0.0,{'N1C'},"{'Cherry Point, NC'}"
0.0,{'NME'},"{'Nightmute, AK'}"
0.0,{'NNL'},"{'Nondalton, AK'}"
0.0,{'MRC'},"{'Columbia, TN'}"
0.0,{'MQY'},"{'Smyrna, TN'}"
0.0,{'MQT'},"{'Marquette, MI'}"
0.0,{'MOU'},"{'Mountain Village, AK'}"
0.0,{'MFE'},"{'Mission/McAllen/Edinburg, TX'}"
0.0,{'MGM'},"{'Montgomery, AL'}"
0.0,{'MGW'},"{'Morgantown, WV'}"
0.0,{'MHK'},"{'Manhattan/Ft. Riley, KS'}"
0.0,{'MOT'},"{'Minot, ND'}"
0.0,{'OMA'},"{'Omaha, NE'}"
0.0,{'MKE'},"{'Milwaukee, WI'}"
0.0,{'MKG'},"{'Muskegon, MI'}"
0.0,{'MKL'},"{'Jackson, TN'}"
0.0,{'MLB'},"{'Melbourne, FL'}"
0.0,{'MLI'},"{'Moline, IL'}"
0.0,{'MLL'},"{'Marshall, AK'}"
0.0,{'MLU'},"{'Monroe, LA'}"
0.0,{'MLY'},"{'Manley Hot Springs, AK'}"
0.0,{'MNZ'},"{'Manassas, VA'}"
0.0,{'PKA'},"{'Napaskiak, AK'}"
0.0,{'KLW'},"{'Klawock, AK'}"
0.0,{'PLN'},"{'Pellston, MI'}"
0.0,{'TOG'},"{'Togiak, AK'}"
0.0,{'TKE'},"{'Tenakee, AK'}"
0.0,{'TKF'},"{'Truckee, CA'}"
0.0,{'TLA'},"{'Teller, AK'}"
0.0,{'TLH'},"{'Tallahassee, FL'}"
0.0,{'TLT'},"{'Tuluksak, AK'}"
0.0,{'TNC'},"{'Tin City, AK'}"
0.0,{'TNK'},"{'Tununak, AK'}"
0.0,{'TRI'},"{'Bristol/Johnson City/Kingsport, TN'}"
0.0,{'TYE'},"{'Tyonek, AK'}"
0.0,{'TSM'},"{'Taos, NM'}"
0.0,{'TTN'},"{'Trenton, NJ'}"
0.0,{'TUP'},"{'Tupelo, MS'}"
0.0,{'TVC'},"{'Traverse City, MI'}"
0.0,{'TVF'},"{'Thief River Falls, MN'}"
0.0,{'TWA'},"{'Twin Hills, AK'}"
0.0,{'TWF'},"{'Twin Falls, ID'}"
0.0,{'TIQ'},"{'Tinian, TT'}"
0.0,{'TEX'},"{'Telluride, CO'}"
0.0,{'TOL'},"{'Toledo, OH'}"
0.0,{'TCT'},"{'Takotna, AK'}"
0.0,{'STX'},"{'Christiansted, VI'}"
0.0,{'STG'},"{'St. George Island, AK'}"
0.0,{'SUA'},"{'Stuart, FL'}"
0.0,{'SUN'},"{'Sun Valley/Hailey/Ketchum, ID'}"
0.0,{'SUX'},"{'Sioux City, IA'}"
0.0,{'SVA'},"{'Savoonga, AK'}"
0.0,{'SVC'},"{'Silver City/Hurley, NM'}"
0.0,{'SVS'},"{'Stevens Village, AK'}"
0.0,{'SWO'},"{'Stillwater, OK'}"
0.0,{'SXP'},"{'Sheldon Point, AK'}"
0.0,{'SXQ'},"{'Soldotna, AK'}"
0.0,{'SYR'},"{'Syracuse, NY'}"
0.0,{'TAL'},"{'Tanana, AK'}"
0.0,{'TBN'},"{'Fort Leonard Wood, MO'}"
0.0,{'TCL'},"{'Tuscaloosa, AL'}"
0.0,{'TXK'},"{'Texarkana, AR'}"
0.0,{'TYR'},"{'Tyler, TX'}"
0.0,{'PPC'},"{'Prospect Creek, AK'}"
0.0,{'YAK'},"{'Yakutat, AK'}"
0.0,{'WNA'},"{'Napakiak, AK'}"
0.0,{'WRG'},"{'Wrangell, AK'}"
0.0,{'WSN'},"{'South Naknek, AK'}"
0.0,{'WST'},"{'Westerly, RI'}"
0.0,{'WSX'},"{'Westsound, WA'}"
0.0,{'WTL'},"{'Tuntutuliak, AK'}"
0.0,{'WWT'},"{'Newtok, AK'}"
0.0,{'YKM'},"{'Yakima, WA'}"
0.0,{'UGN'},"{'Waukegan, IL'}"
0.0,{'ZXU'},"{'North Kingstown, RI'}"
0.0,{'BVU'},"{'Beluga, AK'}"
0.0,{'IN6'},"{'Jeffersonville, IN'}"
0.0,{'MRF'},"{'Marfa, TX'}"
0.0,{'NV6'},"{'Pahrump, NV'}"
0.0,{'T4X'},"{'Llano, TX'}"
0.0,{'LOW'},"{'Louisa, VA'}"
0.0,{'WMO'},"{'White Mountain, AK'}"
0.0,{'WHD'},"{'Hyder, AK'}"
0.0,{'WBQ'},"{'Beaver, AK'}"
0.0,{'WBB'},"{'Stebbins, AK'}"
0.0,{'UIN'},"{'Quincy, IL'}"
0.0,{'UNK'},"{'Unalakleet, AK'}"
0.0,{'UST'},"{'St. Augustine, FL'}"
0.0,{'UT1'},"{'Heber, UT'}"
0.0,{'VA4'},"{'Leesburg, VA'}"
0.0,{'VLD'},"{'Valdosta, GA'}"
0.0,{'VAK'},"{'Chevak, AK'}"
0.0,{'VCT'},"{'Victoria, TX'}"
0.0,{'VDZ'},"{'Valdez, AK'}"
0.0,{'VEE'},"{'Venetie, AK'}"
0.0,{'VEL'},"{'Vernal, UT'}"
0.0,{'VQS'},"{'Vieques, PR'}"
0.0,{'VRB'},"{'Vero Beach, FL'}"
0.0,{'VWK'},"{'Saratoga Springs, NY'}"
0.0,{'WAA'},"{'Wales, AK'}"
0.0,{'SRV'},"{'Stony River, AK'}"
0.0,{'SPS'},"{'Wichita Falls, TX'}"
0.0,{'SPI'},"{'Springfield, IL'}"
0.0,{'RCE'},"{'Roche Harbor, WA'}"
0.0,{'PVU'},"{'Provo, UT'}"
0.0,{'PWM'},"{'Portland, ME'}"
0.0,{'STS'},"{'Santa Rosa, CA'}"
0.0,{'RAP'},"{'Rapid City, SD'}"
0.0,{'UGS'},"{'Ugashik, AK'}"
0.0,{'LAR'},"{'Laramie, WY'}"
0.0,{'RBY'},"{'Ruby, AK'}"
0.0,{'RDB'},"{'Red Dog, AK'}"
0.0,{'STT'},"{'Charlotte Amalie, VI'}"
0.0,{'RDV'},"{'Red Devil, AK'}"
0.0,{'RFD'},"{'Rockford, IL'}"
0.0,{'RHI'},"{'Rhinelander, WI'}"
0.0,{'RIW'},"{'Riverton/Lander, WY'}"
0.0,{'RKD'},"{'Rockland, ME'}"
0.0,{'RKS'},"{'Rock Springs, WY'}"
0.0,{'RMP'},"{'Rampart, AK'}"
0.0,{'PUW'},"{'Pullman, WA'}"
0.0,{'PUB'},"{'Pueblo, CO'}"
0.0,{'PTL'},"{'Port Armstrong, AK'}"
0.0,{'PTK'},"{'Pontiac, MI'}"
0.0,{'PPG'},"{'Pago Pago, TT'}"
0.0,{'PPV'},"{'Port Protection, AK'}"
0.0,{'PQI'},"{'Presque Isle/Houlton, ME'}"
0.0,{'PQS'},"{'Pilot Station, AK'}"
0.0,{'SBP'},"{'San Luis Obispo, CA'}"
0.0,{'PRC'},"{'Prescott, AZ'}"
0.0,{'PSC'},"{'Pasco/Kennewick/Richland, WA'}"
0.0,{'PSE'},"{'Ponce, PR'}"
0.0,{'PSF'},"{'Pittsfield, MA'}"
0.0,{'PSG'},"{'Petersburg, AK'}"
0.0,{'PSM'},"{'Portsmouth, NH'}"
0.0,"{'UDD', 'TRM', 'PSP'}","{'Bermuda Dunes, CA', 'Palm Springs, CA', 'Thermal, CA'}"
0.0,{'PTA'},"{'Port Alsworth, AK'}"
0.0,{'PTD'},"{'Port Alexander, AK'}"
